External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101654.77, 0.25,-0.59, 9.60, 8184
25.09, 101654.77, 0.27,-0.57, 9.60, 8189
25.09, 101654.77, 0.21,-0.61, 9.64, 8194
25.09, 101654.77, 0.25,-0.63, 9.60, 8199
25.09, 101654.77, 0.19,-0.56, 9.69, 8204
25.09, 101656.25, 0.25,-0.54, 9.62, 8209
25.09, 101656.25, 0.31,-0.59, 9.71, 8214
25.09, 101656.25, 0.29,-0.54, 9.75, 8219
25.09, 101656.25, 0.27,-0.56, 9.67, 8224
25.09, 101656.25, 0.25,-0.61, 9.60, 8229
25.09, 101656.25, 0.31,-0.52, 9.62, 8234
25.09, 101656.25, 0.33,-0.52, 9.60, 8239
25.09, 101655.48, 0.29,-0.57, 9.66, 8244
25.09, 101655.48, 0.25,-0.57, 9.54, 8249
25.09, 101655.48, 0.21,-0.61, 9.66, 8254
25.09, 101655.48, 0.23,-0.54, 9.67, 8259
25.09, 101655.48, 0.21,-0.59, 9.67, 8264
25.09, 101655.48, 0.25,-0.61, 9.69, 8269
25.09, 101655.48, 0.29,-0.54, 9.73, 8274
25.09, 101657.36, 0.27,-0.56, 9.66, 8279
25.09, 101657.36, 0.27,-0.57, 9.58, 8284
25.09, 101657.36, 0.19,-0.61, 9.64, 8289
25.09, 101657.36, 0.25,-0.52, 9.64, 8294
25.09, 101657.36, 0.23,-0.52, 9.73, 8299
25.09, 101657.36, 0.19,-0.56, 9.67, 8304
25.09, 101657.36, 0.27,-0.56, 9.66, 8309
25.09, 101656.91, 0.33,-0.59, 9.71, 8314
25.09, 101656.91, 0.15,-0.59, 9.62, 8319
25.09, 101656.91, 0.21,-0.44, 9.62, 8324
25.09, 101656.91, 0.25,-0.61, 9.60, 8329
25.09, 101656.91, 0.25,-0.52, 9.64, 8334
25.09, 101656.91, 0.33,-0.59, 9.75, 8339
25.09, 101656.91, 0.31,-0.52, 9.58, 8344
25.09, 101655.27, 0.29,-0.54, 9.58, 8349
25.09, 101655.27, 0.19,-0.56, 9.54, 8354
25.09, 101655.27, 0.21,-0.50, 9.58, 8359
25.09, 101655.27, 0.13,-0.56, 9.60, 8364
25.09, 101655.27, 0.21,-0.52, 9.66, 8372
25.09, 101655.27, 0.21,-0.57, 9.73, 8376
25.09, 101655.27, 0.21,-0.59, 9.60, 8381
25.09, 101655.81, 0.17,-0.56, 9.64, 8386
25.09, 101655.81, 0.17,-0.56, 9.67, 8391
25.09, 101655.81, 0.19,-0.56, 9.71, 8396
25.09, 101655.81, 0.23,-0.54, 9.66, 8401
25.09, 101655.81, 0.33,-0.57, 9.58, 8406
25.09, 101655.81, 0.33,-0.59, 9.60, 8411
25.09, 101655.81, 0.27,-0.56, 9.66, 8416
25.09, 101654.44, 0.27,-0.56, 9.64, 8421
25.09, 101654.44, 0.19,-0.57, 9.67, 8426
25.09, 101654.44, 0.21,-0.54, 9.77, 8431
25.09, 101654.44, 0.27,-0.57, 9.73, 8436
25.09, 101654.44, 0.21,-0.57, 9.52, 8441
25.09, 101654.44, 0.25,-0.56, 9.35, 8446
25.09, 101654.44, 0.27,-0.42, 9.50, 8451
25.09, 101659.17, 0.27,-0.44, 9.56, 8456
25.09, 101659.17, 0.23,-0.46, 9.64, 8461
25.09, 101659.17, 0.19,-0.54, 9.54, 8466
25.09, 101659.17, 0.23,-0.57, 9.54, 8471
25.09, 101659.17, 0.19,-0.63, 9.54, 8476
25.09, 101659.17, 0.23,-0.56, 9.64, 8481
25.09, 101659.17, 0.23,-0.59, 9.69, 8486
25.09, 101656.64, 0.21,-0.52, 9.66, 8491
25.09, 101656.64, 0.17,-0.57, 9.67, 8496
25.09, 101656.64, 0.21,-0.52, 9.67, 8501
25.09, 101656.64, 0.27,-0.59, 9.62, 8506
25.09, 101656.64, 0.25,-0.63, 9.67, 8511
25.09, 101656.64, 0.25,-0.52, 9.67, 8516
25.09, 101656.64, 0.21,-0.59, 9.66, 8521
25.09, 101656.74, 0.31,-0.59, 9.54, 8526
25.09, 101656.74, 0.19,-0.59, 9.66, 8531
25.09, 101656.74, 0.29,-0.67, 9.56, 8536
25.09, 101656.74, 0.27,-0.50, 9.56, 8541
25.09, 101656.74, 0.21,-0.65, 9.62, 8546
25.09, 101656.74, 0.29,-0.33, 9.48, 8551
25.09, 101656.74, 0.33,-0.54, 9.66, 8556
25.09, 101656.91, 0.29,-0.52, 9.67, 8561
25.09, 101656.91, 0.33,-0.56, 9.64, 8566
